0.175 0.175 0.16019220379401422
0.175 0.525 -0.06052847306862507
0.175 0.875 -0.14060288346302635
0.175 1.225 -0.07520068785591233
0.175 1.575 0.1367037492183482

0.525 0.175 0.7156178770743179
0.525 0.525 -0.323015660490534
0.525 0.875 -0.7201266945651071
0.525 1.225 -0.39372269613529504
0.525 1.575 0.5850783405782036

0.875 0.175 1.0
0.875 0.525 -0.46405422987789197
0.875 0.875 -1.0069193078602952
0.875 1.225 -0.5605383340338087
0.875 1.575 0.8064524865631674

1.225 0.175 0.715617877075992
1.225 0.525 -0.3230156606579771
1.225 0.875 -0.7201266943640633
1.225 1.225 -0.39372269609055294
1.225 1.575 0.58507834077129

1.575 0.175 0.16019220362785894
1.575 0.525 -0.06052847305440214
1.575 0.875 -0.14060288347766572
1.575 1.225 -0.07520068776505615
1.575 1.575 0.13670374934106957

