	time		p1		p2
   0.0000000e+00   1.0000000e-01   5.0000000e-03
   1.0000000e-02   4.3610085e-01  -4.2462186e-03
   2.0000000e-02   4.4414760e-01  -1.3305096e-02
   3.0000000e-02   4.4026594e-01  -1.3905888e-02
   4.0000000e-02   4.3807386e-01  -1.4212138e-02
   5.0000000e-02   4.4112106e-01  -5.5632821e-03
   6.0000000e-02   4.1352724e-01  -8.3636581e-03
   7.0000000e-02   4.1694871e-01  -8.2935400e-03
   8.0000000e-02   4.1814240e-01  -8.2835836e-03
   9.0000000e-02   4.5654002e-01  -9.7642376e-03
   1.0000000e-01   4.5463728e-01  -9.5285851e-03
   1.1000000e-01   4.5432939e-01  -9.5196209e-03
   1.2000000e-01   4.5415764e-01  -9.5377773e-03
   1.3000000e-01   4.5406459e-01  -9.5450177e-03
   1.4000000e-01   4.5397008e-01  -9.5731504e-03
   1.5000000e-01   4.5389314e-01  -9.5977108e-03
   1.6000000e-01   4.5057620e-01  -7.3701881e-03
   1.7000000e-01   4.4902128e-01  -5.3686558e-03
   1.8000000e-01   4.4456307e-01  -8.0409671e-03
   1.9000000e-01   4.4257391e-01  -7.7895358e-03
   2.0000000e-01   4.4038807e-01  -7.6216866e-03
   2.1000000e-01   4.3829934e-01  -7.5048356e-03
   2.2000000e-01   4.5016690e-01  -9.3180416e-03
   2.3000000e-01   4.4976937e-01  -8.8792934e-03
   2.4000000e-01   4.4870995e-01  -8.7149832e-03
   2.5000000e-01   4.4796667e-01  -8.6521246e-03
   2.6000000e-01   4.4739796e-01  -8.6371636e-03
   2.7000000e-01   4.4691689e-01  -8.6563405e-03
   2.8000000e-01   4.4643490e-01  -8.7032125e-03
   2.9000000e-01   4.4599762e-01  -8.7582287e-03
   3.0000000e-01   4.4562747e-01  -8.8084650e-03
   3.1000000e-01   4.4530830e-01  -8.8551086e-03
   3.2000000e-01   4.3467413e-01  -1.0208435e-02
   3.3000000e-01   4.4045990e-01  -1.0812691e-02
   3.4000000e-01   4.4455782e-01  -1.0380233e-02
   3.5000000e-01   4.4591394e-01  -1.0033110e-02
   3.6000000e-01   4.0542068e-01  -1.3645890e-02
   3.7000000e-01   4.0749309e-01  -1.3064903e-02
   3.8000000e-01   4.0725202e-01  -1.2744618e-02
   3.9000000e-01   4.5274662e-01  -1.0319631e-02
   4.0000000e-01   4.5262650e-01  -1.0372971e-02
   4.1000000e-01   4.5267270e-01  -1.0355620e-02
   4.2000000e-01   4.5261128e-01  -1.0378694e-02
   4.3000000e-01   4.5256268e-01  -1.0396955e-02
   4.4000000e-01   4.5254000e-01  -1.0405474e-02
   4.5000000e-01   4.5239778e-01  -1.0458909e-02
   4.6000000e-01   4.5224955e-01  -1.0514601e-02
   4.7000000e-01   4.5211570e-01  -1.0564890e-02
   4.8000000e-01   4.0880451e-01  -1.2338130e-02
   4.9000000e-01   4.1495337e-01  -1.1708492e-02
   5.0000000e-01   4.1737065e-01  -1.2025635e-02
   5.1000000e-01   4.0643346e-01  -1.1967478e-02
   5.2000000e-01   4.1362745e-01  -1.1107824e-02
   5.3000000e-01   4.1610873e-01  -1.0746788e-02
   5.4000000e-01   4.0679907e-01  -1.2008694e-02
   5.5000000e-01   3.9040172e-01  -1.3303110e-02
   5.6000000e-01   3.9669046e-01  -1.2616306e-02
   5.7000000e-01   3.9766664e-01  -1.2366533e-02
   5.8000000e-01   3.7962322e-01  -1.4501947e-02
   5.9000000e-01   3.7983389e-01  -1.4470899e-02
   6.0000000e-01   3.8014930e-01  -1.4432399e-02
   6.1000000e-01   3.8044696e-01  -1.4395835e-02
   6.2000000e-01   3.8072011e-01  -1.4362830e-02
   6.3000000e-01   3.8097418e-01  -1.4332948e-02
   6.4000000e-01   3.8120330e-01  -1.4307369e-02
   6.5000000e-01   3.8139731e-01  -1.4285972e-02
   6.6000000e-01   3.8156381e-01  -1.4268039e-02
   6.7000000e-01   3.8170024e-01  -1.4253386e-02
   6.8000000e-01   3.8181107e-01  -1.4241735e-02
   6.9000000e-01   3.8189925e-01  -1.4232596e-02
   7.0000000e-01   3.8196675e-01  -1.4225465e-02
   7.1000000e-01   3.8201973e-01  -1.4219732e-02
   7.2000000e-01   3.8206167e-01  -1.4215175e-02
   7.3000000e-01   3.8209364e-01  -1.4211746e-02
   7.4000000e-01   3.8211989e-01  -1.4209015e-02
   7.5000000e-01   3.8213982e-01  -1.4206790e-02
   7.6000000e-01   3.8215427e-01  -1.4204981e-02
   7.7000000e-01   3.8216571e-01  -1.4203569e-02
   7.8000000e-01   3.8217694e-01  -1.4202490e-02
   7.9000000e-01   3.8218657e-01  -1.4201602e-02
   8.0000000e-01   3.8219312e-01  -1.4200831e-02
   8.1000000e-01   3.8219868e-01  -1.4200222e-02
   8.2000000e-01   3.8220588e-01  -1.4199729e-02
   8.3000000e-01   3.8221365e-01  -1.4199283e-02
   8.4000000e-01   3.8221941e-01  -1.4198876e-02
   8.5000000e-01   3.8222234e-01  -1.4198487e-02
   8.6000000e-01   3.8222562e-01  -1.4198129e-02
   8.7000000e-01   3.8223166e-01  -1.4197824e-02
   8.8000000e-01   3.8223672e-01  -1.4197538e-02
   8.9000000e-01   3.8223936e-01  -1.4197254e-02
   9.0000000e-01   3.8224213e-01  -1.4196973e-02
   9.1000000e-01   3.8224625e-01  -1.4196714e-02
   9.2000000e-01   3.8225012e-01  -1.4196500e-02
   9.3000000e-01   3.8225291e-01  -1.4196302e-02
   9.4000000e-01   3.8225518e-01  -1.4196079e-02
   9.5000000e-01   3.8225807e-01  -1.4195867e-02
   9.6000000e-01   3.8226169e-01  -1.4195696e-02
   9.7000000e-01   3.8226534e-01  -1.4195529e-02
   9.8000000e-01   3.8226868e-01  -1.4195337e-02
   9.9000000e-01   3.8227184e-01  -1.4195134e-02
   1.0000000e+00   3.8227485e-01  -1.4194947e-02
   1.0100000e+00   3.8227822e-01  -1.4194771e-02
   1.0200000e+00   3.8228168e-01  -1.4194588e-02
   1.0300000e+00   3.8228471e-01  -1.4194401e-02
   1.0400000e+00   3.8228751e-01  -1.4194221e-02
   1.0500000e+00   3.8229080e-01  -1.4194046e-02
   1.0600000e+00   3.8229431e-01  -1.4193872e-02
   1.0700000e+00   3.8229761e-01  -1.4193698e-02
   1.0800000e+00   3.8230068e-01  -1.4193528e-02
   1.0900000e+00   3.8230387e-01  -1.4193354e-02
   1.1000000e+00   3.8230726e-01  -1.4193184e-02
   1.1100000e+00   3.8231061e-01  -1.4193020e-02
