	time		p1		p2
   0.0000000e+00   1.0000000e-01   5.5000000e-03
   1.0000000e-02   4.5198745e-01  -1.1957229e-02
   2.0000000e-02   4.3688985e-01  -1.0181708e-02
   3.0000000e-02   4.3991322e-01  -9.5828630e-03
   4.0000000e-02   4.3984048e-01  -9.5349585e-03
   5.0000000e-02   4.3997106e-01  -9.5586503e-03
   6.0000000e-02   4.4007814e-01  -9.5790221e-03
   7.0000000e-02   4.4016630e-01  -9.5895281e-03
   8.0000000e-02   4.4025275e-01  -9.6028458e-03
   9.0000000e-02   4.4034864e-01  -9.6209165e-03
   1.0000000e-01   4.4043771e-01  -9.6390422e-03
   1.1000000e-01   4.4052470e-01  -9.6596242e-03
   1.2000000e-01   4.4061016e-01  -9.6812167e-03
   1.3000000e-01   4.4068998e-01  -9.7020475e-03
   1.4000000e-01   4.4076715e-01  -9.7230824e-03
   1.5000000e-01   4.4084108e-01  -9.7441296e-03
   1.6000000e-01   4.4091338e-01  -9.7661084e-03
   1.7000000e-01   4.4098206e-01  -9.7879117e-03
   1.8000000e-01   4.4104923e-01  -9.8102496e-03
   1.9000000e-01   4.4111407e-01  -9.8326216e-03
   2.0000000e-01   4.4117649e-01  -9.8549146e-03
   2.1000000e-01   4.4123633e-01  -9.8769485e-03
   2.2000000e-01   4.4129430e-01  -9.8989857e-03
   2.3000000e-01   4.4135019e-01  -9.9208019e-03
   2.4000000e-01   4.4140389e-01  -9.9422561e-03
   2.5000000e-01   4.4145722e-01  -9.9641856e-03
   2.6000000e-01   4.4150906e-01  -9.9859774e-03
   2.7000000e-01   4.4155878e-01  -1.0007238e-02
   2.8000000e-01   4.4160647e-01  -1.0027960e-02
   2.9000000e-01   4.4165301e-01  -1.0048537e-02
   3.0000000e-01   4.4169834e-01  -1.0068892e-02
   3.1000000e-01   4.4174314e-01  -1.0089321e-02
   3.2000000e-01   4.4178717e-01  -1.0109672e-02
   3.3000000e-01   4.4183029e-01  -1.0129839e-02
   3.4000000e-01   4.3671322e-01  -9.2919685e-03
   3.5000000e-01   4.3987874e-01  -8.6730299e-03
   3.6000000e-01   4.3997377e-01  -8.2876106e-03
   3.7000000e-01   4.3965917e-01  -8.0043035e-03
   3.8000000e-01   4.3909072e-01  -7.7977449e-03
   3.9000000e-01   4.3844996e-01  -7.6435280e-03
   4.0000000e-01   4.3778148e-01  -7.5248286e-03
   4.1000000e-01   4.4248063e-01  -6.0586287e-03
   4.2000000e-01   4.3683112e-01  -5.9796820e-03
   4.3000000e-01   4.3849217e-01  -3.8171806e-03
   4.4000000e-01   4.3490844e-01  -8.1166380e-03
   4.5000000e-01   4.4177719e-01  -6.9062141e-03
   4.6000000e-01   4.4123712e-01  -1.0274533e-02
   4.7000000e-01   4.4480749e-01  -1.0371973e-02
   4.8000000e-01   4.4352322e-01  -1.0118925e-02
   4.9000000e-01   4.4320616e-01  -1.0000717e-02
   5.0000000e-01   4.4314569e-01  -9.9480085e-03
   5.1000000e-01   4.4313782e-01  -9.9249251e-03
   5.2000000e-01   4.4314221e-01  -9.9106088e-03
   5.3000000e-01   4.4314813e-01  -9.9003689e-03
   5.4000000e-01   4.4315455e-01  -9.8909179e-03
   5.5000000e-01   4.4316059e-01  -9.8823172e-03
   5.6000000e-01   4.4316594e-01  -9.8747647e-03
   5.7000000e-01   4.4317132e-01  -9.8671578e-03
   5.8000000e-01   4.4317627e-01  -9.8601600e-03
   5.9000000e-01   4.4318153e-01  -9.8527117e-03
   6.0000000e-01   4.4318655e-01  -9.8456150e-03
   6.1000000e-01   4.3615934e-01  -7.2264848e-03
   6.2000000e-01   4.4025334e-01  -1.0365347e-02
   6.3000000e-01   3.9590869e-01  -8.3115525e-03
   6.4000000e-01   4.1289952e-01  -7.7564275e-03
   6.5000000e-01   4.1766006e-01  -7.8508568e-03
   6.6000000e-01   3.9142626e-01  -1.1038205e-02
   6.7000000e-01   3.9191438e-01  -1.0971941e-02
   6.8000000e-01   3.9224446e-01  -1.0874870e-02
   6.9000000e-01   3.9255231e-01  -1.0782200e-02
   7.0000000e-01   3.9281124e-01  -1.0703554e-02
   7.1000000e-01   3.8598190e-01  -1.0401284e-02
   7.2000000e-01   3.8804978e-01  -1.0470563e-02
   7.3000000e-01   3.8806831e-01  -1.0464654e-02
   7.4000000e-01   3.8807188e-01  -1.0464381e-02
   7.5000000e-01   3.8807471e-01  -1.0463924e-02
   7.6000000e-01   3.8807739e-01  -1.0462958e-02
   7.7000000e-01   3.8807900e-01  -1.0462574e-02
   7.8000000e-01   3.8808246e-01  -1.0460629e-02
   7.9000000e-01   3.8808587e-01  -1.0459455e-02
   8.0000000e-01   3.8808979e-01  -1.0458264e-02
   8.1000000e-01   3.8809262e-01  -1.0458054e-02
   8.2000000e-01   3.8809584e-01  -1.0457461e-02
   8.3000000e-01   3.8809914e-01  -1.0456642e-02
   8.4000000e-01   3.8810275e-01  -1.0455290e-02
   8.5000000e-01   3.8810653e-01  -1.0453837e-02
   8.6000000e-01   3.8811059e-01  -1.0452326e-02
   8.7000000e-01   3.8811391e-01  -1.0451340e-02
   8.8000000e-01   3.8811738e-01  -1.0450445e-02
   8.9000000e-01   3.8812105e-01  -1.0449382e-02
   9.0000000e-01   3.8812529e-01  -1.0447739e-02
   9.1000000e-01   3.8812939e-01  -1.0446037e-02
   9.2000000e-01   3.8813360e-01  -1.0444404e-02
   9.3000000e-01   3.8813751e-01  -1.0442945e-02
   9.4000000e-01   3.8814132e-01  -1.0441687e-02
   9.5000000e-01   3.8814507e-01  -1.0440536e-02
   9.6000000e-01   3.8814899e-01  -1.0439171e-02
   9.7000000e-01   3.8815294e-01  -1.0437596e-02
   9.8000000e-01   3.8815692e-01  -1.0436092e-02
   9.9000000e-01   3.8816076e-01  -1.0434637e-02
   1.0000000e+00   3.8816459e-01  -1.0433252e-02
   1.0100000e+00   3.8816839e-01  -1.0431957e-02
   1.0200000e+00   3.8817208e-01  -1.0430684e-02
   1.0300000e+00   3.8817584e-01  -1.0429324e-02
   1.0400000e+00   3.8817946e-01  -1.0428059e-02
