	time		p1		p2
   0.0000000e+00  -2.0000000e-02  -1.0000000e-03
   1.0000000e-02   3.3288956e-01  -1.3912424e-02
   2.0000000e-02   3.2997788e-01  -1.4063098e-02
   3.0000000e-02   3.2538104e-01  -1.8036486e-02
   4.0000000e-02   3.2229256e-01  -1.6787075e-02
   5.0000000e-02   3.2683132e-01  -1.3702385e-02
   6.0000000e-02   3.2955128e-01  -1.7540505e-02
   7.0000000e-02   3.2816667e-01  -1.7832755e-02
   8.0000000e-02   3.2892279e-01  -1.7769227e-02
   9.0000000e-02   3.3010701e-01  -1.7632545e-02
   1.0000000e-01   3.3438624e-01  -1.3480228e-02
   1.1000000e-01   3.2547999e-01  -1.1732037e-02
   1.2000000e-01   3.2568759e-01  -1.1155205e-02
   1.3000000e-01   3.8682492e-01  -1.7161263e-02
   1.4000000e-01   3.9063953e-01  -1.6173252e-02
   1.5000000e-01   3.9227856e-01  -1.7553892e-02
   1.6000000e-01   3.8963916e-01  -1.7741840e-02
   1.7000000e-01   3.7967405e-01  -1.5709795e-02
   1.8000000e-01   3.9940865e-01  -1.9530946e-02
   1.9000000e-01   3.9856631e-01  -1.9021623e-02
   2.0000000e-01   3.9632308e-01  -1.8618566e-02
   2.1000000e-01   3.9402228e-01  -1.8349847e-02
   2.2000000e-01   3.9200916e-01  -1.8151904e-02
   2.3000000e-01   3.9032329e-01  -1.8012932e-02
   2.4000000e-01   3.8888850e-01  -1.7900523e-02
   2.5000000e-01   3.8765527e-01  -1.7810031e-02
   2.6000000e-01   3.8654013e-01  -1.7733879e-02
   2.7000000e-01   3.8553455e-01  -1.7670839e-02
   2.8000000e-01   3.8468094e-01  -1.7622433e-02
   2.9000000e-01   3.8391643e-01  -1.7583246e-02
   3.0000000e-01   3.8324061e-01  -1.7552182e-02
   3.1000000e-01   3.9360564e-01  -1.8426115e-02
   3.2000000e-01   3.9999988e-01  -1.8572394e-02
   3.3000000e-01   4.0612031e-01  -1.8897515e-02
   3.4000000e-01   3.7149607e-01  -1.6317460e-02
   3.5000000e-01   3.6616163e-01  -1.5393596e-02
   3.6000000e-01   3.4875157e-01  -1.4053228e-02
   3.7000000e-01   3.4539110e-01  -1.3252237e-02
   3.8000000e-01   3.6480885e-01  -1.5514232e-02
   3.9000000e-01   3.3530353e-01  -1.3489560e-02
   4.0000000e-01   3.4289421e-01  -1.3659826e-02
   4.1000000e-01   3.0855862e-01  -1.4513839e-02
   4.2000000e-01   3.1696888e-01  -1.2374134e-02
   4.3000000e-01   3.1923701e-01  -1.2143368e-02
   4.4000000e-01   2.7252195e-01  -1.2836606e-02
   4.5000000e-01   2.7299892e-01  -1.2544003e-02
   4.6000000e-01   2.7369126e-01  -1.2486983e-02
   4.7000000e-01   2.7431931e-01  -1.2496195e-02
   4.8000000e-01   2.7484005e-01  -1.2523870e-02
   4.9000000e-01   2.7530333e-01  -1.2560717e-02
   5.0000000e-01   2.7566797e-01  -1.2594033e-02
   5.1000000e-01   2.7599120e-01  -1.2626956e-02
   5.2000000e-01   2.7626792e-01  -1.2657170e-02
   5.3000000e-01   2.7650532e-01  -1.2684544e-02
   5.4000000e-01   2.7672950e-01  -1.2712060e-02
   5.5000000e-01   2.7693301e-01  -1.2737866e-02
   5.6000000e-01   2.7710987e-01  -1.2013420e-02
   5.7000000e-01   2.7877634e-01  -1.1708929e-02
   5.8000000e-01   2.8006553e-01  -1.1549717e-02
   5.9000000e-01   2.8104381e-01  -1.1448858e-02
   6.0000000e-01   2.8171623e-01  -1.1372898e-02
   6.1000000e-01   2.8214024e-01  -1.1310062e-02
   6.2000000e-01   2.8240456e-01  -1.1253915e-02
   6.3000000e-01   2.8257315e-01  -1.1202620e-02
   6.4000000e-01   2.8268141e-01  -1.1158655e-02
   6.5000000e-01   2.7423359e-01  -1.3221845e-02
   6.6000000e-01   2.7545224e-01  -1.2986530e-02
   6.7000000e-01   2.7650824e-01  -1.2745690e-02
   6.8000000e-01   2.7726775e-01  -1.2543537e-02
   6.9000000e-01   2.7701072e-01  -1.4948224e-02
   7.0000000e-01   2.8273147e-01  -1.4309315e-02
   7.1000000e-01   2.8587901e-01  -1.3620645e-02
   7.2000000e-01   2.8076072e-01  -1.4504258e-02
   7.3000000e-01   2.8347412e-01  -1.4412052e-02
   7.4000000e-01   2.8538897e-01  -1.4468370e-02
   7.5000000e-01   2.6457886e-01  -1.8102078e-02
   7.6000000e-01   2.6807483e-01  -1.7510155e-02
   7.7000000e-01   2.5680165e-01  -1.8056253e-02
   7.8000000e-01   2.5570174e-01  -1.7041445e-02
   7.9000000e-01   2.5529520e-01  -1.6639701e-02
   8.0000000e-01   2.5515782e-01  -1.6434244e-02
   8.1000000e-01   2.5520192e-01  -1.6306283e-02
   8.2000000e-01   2.5529983e-01  -1.6216133e-02
   8.3000000e-01   2.5542109e-01  -1.6146174e-02
   8.4000000e-01   2.8016581e-01  -1.7009914e-02
   8.5000000e-01   3.2489535e-01  -1.4519298e-02
   8.6000000e-01   3.2364324e-01  -1.4433610e-02
   8.7000000e-01   3.2344374e-01  -1.4459391e-02
   8.8000000e-01   3.2338626e-01  -1.4484473e-02
   8.9000000e-01   3.2335476e-01  -1.4501904e-02
   9.0000000e-01   3.2330604e-01  -1.4529924e-02
   9.1000000e-01   3.2326694e-01  -1.4552455e-02
   9.2000000e-01   3.2321367e-01  -1.4583159e-02
   9.3000000e-01   3.2315355e-01  -1.4617811e-02
   9.4000000e-01   3.2311155e-01  -1.4642021e-02
   9.5000000e-01   3.2306685e-01  -1.4667789e-02
   9.6000000e-01   3.2302194e-01  -1.4693674e-02
   9.7000000e-01   3.1088065e-01  -1.6745677e-02
