	time		p1		p2
   0.0000000e+00  -6.4000000e-02  -0.0000000e+00
   1.0000000e-02   2.7672824e-01  -1.3407239e-02
   2.0000000e-02   2.7992207e-01  -1.2673197e-02
   3.0000000e-02   2.7087704e-01  -1.2721537e-02
   4.0000000e-02   2.8263745e-01  -1.5728834e-02
   5.0000000e-02   2.8084260e-01  -1.4661968e-02
   6.0000000e-02   2.8136821e-01  -1.4284825e-02
   7.0000000e-02   2.8203825e-01  -1.4063163e-02
   8.0000000e-02   2.8253073e-01  -1.3909240e-02
   9.0000000e-02   2.8295164e-01  -1.3811093e-02
   1.0000000e-01   2.8322734e-01  -1.3737353e-02
   1.1000000e-01   2.8344152e-01  -1.3704624e-02
   1.2000000e-01   2.8355096e-01  -1.3666162e-02
   1.3000000e-01   2.8360622e-01  -1.3634790e-02
   1.4000000e-01   2.8363588e-01  -1.3611125e-02
   1.5000000e-01   2.8364510e-01  -1.3592272e-02
   1.6000000e-01   2.8368233e-01  -1.3592022e-02
   1.7000000e-01   2.8370207e-01  -1.3589928e-02
   1.8000000e-01   2.8371457e-01  -1.3588553e-02
   1.9000000e-01   2.8371684e-01  -1.3585462e-02
   2.0000000e-01   2.6561771e-01  -1.5986185e-02
   2.1000000e-01   2.8886065e-01  -1.5426905e-02
   2.2000000e-01   2.8818219e-01  -1.4092469e-02
   2.3000000e-01   2.8684045e-01  -1.2575988e-02
   2.4000000e-01   2.7866218e-01  -1.1664284e-02
   2.5000000e-01   2.7399492e-01  -1.0559006e-02
   2.6000000e-01   2.7415200e-01  -1.3569467e-02
   2.7000000e-01   2.7064854e-01  -1.2406975e-02
   2.8000000e-01   2.8300309e-01  -1.2504737e-02
   2.9000000e-01   2.8292003e-01  -1.1800774e-02
   3.0000000e-01   2.7908450e-01  -1.1506280e-02
   3.1000000e-01   2.4382200e-01  -1.6260127e-02
   3.2000000e-01   2.3801545e-01  -1.3227782e-02
   3.3000000e-01   2.6707321e-01  -1.3329519e-02
   3.4000000e-01   2.6821887e-01  -1.1217491e-02
   3.5000000e-01   2.7189738e-01  -9.9325431e-03
   3.6000000e-01   2.7091994e-01  -9.7015830e-03
   3.7000000e-01   2.7081483e-01  -9.6600445e-03
   3.8000000e-01   2.7078031e-01  -9.6438952e-03
   3.9000000e-01   2.7076430e-01  -9.6339880e-03
