	time		p1		p2
   1.1000000e+00   3.8123401e-01  -1.3231153e-02
   1.1100000e+00   3.8136178e-01  -1.3208389e-02
   1.1200000e+00   3.8151560e-01  -1.3186458e-02
   1.1300000e+00   3.8165837e-01  -1.3167162e-02
   1.1400000e+00   3.8180643e-01  -1.3147411e-02
   1.1500000e+00   3.8194535e-01  -1.3128897e-02
   1.1600000e+00   3.8263560e-01  -1.4180345e-02
   1.1700000e+00   3.8455917e-01  -1.4479727e-02
   1.1800000e+00   3.8496323e-01  -1.4514432e-02
   1.1900000e+00   3.8463594e-01  -1.4495000e-02
   1.2000000e+00   3.8431638e-01  -1.4478163e-02
   1.2100000e+00   3.8407796e-01  -1.4461831e-02
   1.2200000e+00   3.8390046e-01  -1.4447874e-02
   1.2300000e+00   3.9256548e-01  -1.4389405e-02
   1.2400000e+00   3.9255057e-01  -1.4055988e-02
   1.2500000e+00   3.8459902e-01  -1.3449380e-02
   1.2600000e+00   3.7400098e-01  -1.2497149e-02
   1.2700000e+00   3.7186128e-01  -1.1751696e-02
   1.2800000e+00   3.6968043e-01  -1.1098423e-02
   1.2900000e+00   4.2107373e-01  -1.6608389e-02
   1.3000000e+00   4.0849719e-01  -1.5702679e-02
   1.3100000e+00   3.7797057e-01  -1.3694488e-02
   1.3200000e+00   3.7814349e-01  -1.3337548e-02
   1.3300000e+00   3.7806401e-01  -1.3295388e-02
   1.3400000e+00   3.7799178e-01  -1.3280381e-02
   1.3500000e+00   3.7796749e-01  -1.3277303e-02
   1.3600000e+00   3.7794897e-01  -1.3275695e-02
   1.3700000e+00   3.7793586e-01  -1.3275356e-02
   1.3800000e+00   3.7793186e-01  -1.3276688e-02
   1.3900000e+00   3.7794162e-01  -1.3280798e-02
   1.4000000e+00   3.7795927e-01  -1.3286488e-02
   1.4100000e+00   3.7798399e-01  -1.3293424e-02
   1.4200000e+00   3.7801401e-01  -1.3301328e-02
   1.4300000e+00   3.7804559e-01  -1.3309625e-02
   1.4400000e+00   3.7808053e-01  -1.3318516e-02
   1.4500000e+00   3.7811576e-01  -1.3327286e-02
   1.4600000e+00   3.7815367e-01  -1.3336490e-02
   1.4700000e+00   3.7819235e-01  -1.3345708e-02
   1.4800000e+00   3.7823180e-01  -1.3354960e-02
   1.4900000e+00   3.7826960e-01  -1.3363752e-02
   1.5000000e+00   3.7830695e-01  -1.3372321e-02
   1.5100000e+00   3.7834201e-01  -1.3380354e-02
   1.5200000e+00   3.7837486e-01  -1.3387858e-02
   1.5300000e+00   3.7840612e-01  -1.3394950e-02
   1.5400000e+00   3.7843545e-01  -1.3401557e-02
   1.5500000e+00   3.7846297e-01  -1.3407723e-02
   1.5600000e+00   3.7848859e-01  -1.3413444e-02
   1.5700000e+00   3.7851221e-01  -1.3418709e-02
   1.5800000e+00   3.7853396e-01  -1.3423550e-02
   1.5900000e+00   3.7855393e-01  -1.3427970e-02
   1.6000000e+00   3.7857236e-01  -1.3432044e-02
   1.6100000e+00   3.7858944e-01  -1.3435792e-02
   1.6200000e+00   3.7860497e-01  -1.3439195e-02
   1.6300000e+00   3.7861917e-01  -1.3442312e-02
   1.6400000e+00   3.7863221e-01  -1.3445157e-02
   1.6500000e+00   3.7864401e-01  -1.3447743e-02
   1.6600000e+00   3.7865480e-01  -1.3450090e-02
   1.6700000e+00   3.7866459e-01  -1.3452228e-02
   1.6800000e+00   3.7867347e-01  -1.3454166e-02
   1.6900000e+00   3.7868155e-01  -1.3455924e-02
   1.7000000e+00   3.7868886e-01  -1.3457518e-02
   1.7100000e+00   3.7869552e-01  -1.3458962e-02
   1.7200000e+00   3.7870151e-01  -1.3460262e-02
   1.7300000e+00   3.7870693e-01  -1.3461441e-02
   1.7400000e+00   3.7871184e-01  -1.3462510e-02
   1.7500000e+00   3.7871622e-01  -1.3463471e-02
   1.7600000e+00   3.7872018e-01  -1.3464339e-02
   1.7700000e+00   3.7872377e-01  -1.3465125e-02
   1.7800000e+00   3.7872700e-01  -1.3465834e-02
   1.7900000e+00   3.7872991e-01  -1.3466474e-02
   1.8000000e+00   3.7873251e-01  -1.3467052e-02
